profile,split,kind,source,metric,count,min,p10,p25,median,p75,p90,max,mean
baseline_default,train-validation,true_positive,predicted,elongation,180,1.0,1.035084,1.2,1.4,1.75,2.34,7.538462,1.633692
baseline_default,train-validation,true_positive,predicted,fillRatio,180,0.056818,0.133371,0.171171,0.25,0.316934,0.394969,0.622817,0.257667
baseline_default,train-validation,true_positive,predicted,pixelArea,180,9.0,11.0,14.0,23.0,69.25,288.6,1690.0,93.605556
baseline_default,train-validation,true_positive,predicted,ringProminence,180,8.69697,17.962963,31.159869,53.218187,103.276042,149.729704,183.865079,70.540586
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,area,2,0.0,6.95,17.375,34.75,52.125,62.55,69.5,34.75
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,circularity,2,0.0,0.016447,0.041119,0.082237,0.123356,0.148027,0.164474,0.082237
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,componentMean,2,7.0,7.473786,8.184466,9.368932,10.553398,11.264078,11.737864,9.368932
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,componentPeak,2,7.0,10.9,16.75,26.5,36.25,42.1,46.0,26.5
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,elongation,2,1.0,1.166667,1.416667,1.833333,2.25,2.5,2.666667,1.833333
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,fillRatio,2,0.0,0.018099,0.045248,0.090495,0.135743,0.162891,0.18099,0.090495
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,pixelArea,2,1.0,11.2,26.5,52.0,77.5,92.8,103.0,52.0
low_contrast_clahe_local_mean,train-validation,false_negative,ground_truth,ringProminence,2,-4.5,-0.361594,5.846015,16.192029,26.538044,32.745652,36.884058,16.192029
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,area,27129,4.0,4.0,4.5,6.0,9.0,15.0,476.0,8.524439
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,circularity,27129,0.006613,0.041062,0.066287,0.11978,0.223695,0.369919,0.898353,0.170776
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,componentMean,27129,14.222222,20.055556,21.2,22.5625,24.095238,25.8,76.230769,22.809303
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,componentPeak,27129,19.0,29.0,32.0,36.0,41.0,47.0,176.0,37.25611
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,elongation,27129,1.0,1.0,1.166667,1.375,1.75,2.25,34.0,1.596327
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,fillRatio,27129,0.020513,0.074074,0.101562,0.142857,0.204545,0.275,0.55,0.161621
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,pixelArea,27129,8.0,11.0,14.0,18.0,26.0,38.0,645.0,22.844373
low_contrast_clahe_local_mean,train-validation,false_positive,predicted,ringProminence,27129,10.071429,21.142857,24.333333,28.5625,33.909091,39.957088,169.478261,30.005316
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,area,328,4.0,4.5,7.375,16.0,71.125,282.6,2719.0,96.179878
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,circularity,328,0.012394,0.037393,0.060031,0.10389,0.177291,0.311897,0.698733,0.143036
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,componentMean,328,18.083333,20.689117,22.646976,25.066729,28.544412,32.676434,56.866667,26.107313
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,componentPeak,328,22.0,31.0,38.0,50.0,78.0,135.2,188.0,64.704268
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,elongation,328,1.0,1.03664,1.166667,1.375,1.666667,2.17381,4.52,1.518886
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,fillRatio,328,0.045455,0.09646,0.133333,0.189605,0.27193,0.372035,0.622768,0.212246
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,pixelArea,328,9.0,14.0,19.75,36.5,134.5,374.0,3037.0,134.414634
low_contrast_clahe_local_mean,train-validation,true_positive,predicted,ringProminence,328,12.882353,23.651117,30.990506,42.633766,70.35252,127.137857,178.468966,57.070928
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,area,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,circularity,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,componentMean,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,componentPeak,1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,elongation,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,fillRatio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,pixelArea,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
low_contrast_clahe_percentile_stats,train-validation,false_negative,ground_truth,ringProminence,1,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75,-6.75
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,area,52749,4.0,4.5,5.5,9.0,18.5,41.0,15605.0,23.685852
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,circularity,52749,0.002006,0.024897,0.042111,0.07996,0.155479,0.283578,0.898353,0.124525
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,componentMean,52749,15.111111,21.290323,22.556886,23.949153,25.538462,27.366667,57.3,24.207785
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,componentPeak,52749,21.0,34.0,38.0,44.0,52.0,61.0,183.0,46.445734
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,elongation,52749,1.0,1.0,1.153846,1.333333,1.666667,2.0,16.0,1.498115
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,fillRatio,52749,0.01875,0.072115,0.097115,0.133929,0.1875,0.25,0.662576,0.150783
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,pixelArea,52749,8.0,13.0,17.0,26.0,46.0,91.0,17649.0,51.271853
low_contrast_clahe_percentile_stats,train-validation,false_positive,predicted,ringProminence,52749,11.0,26.2627,30.789474,36.842105,44.719512,53.782609,175.789116,39.166925
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,area,299,4.0,5.5,10.5,38.5,285.25,633.6,8575.5,293.311037
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,circularity,299,0.002298,0.014561,0.029676,0.059031,0.119818,0.175962,0.779838,0.091624
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,componentMean,299,17.943396,21.887554,23.517232,25.211538,28.726502,32.824791,52.133333,26.519681
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,componentPeak,299,25.0,35.0,44.0,68.0,110.5,151.0,181.0,80.608696
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,elongation,299,1.0,1.0,1.115385,1.323529,1.637218,2.170105,5.8,1.480644
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,fillRatio,299,0.049383,0.096825,0.132149,0.18007,0.245935,0.334343,0.62931,0.20166
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,pixelArea,299,9.0,16.0,26.5,85.0,421.5,832.6,11384.0,414.511706
low_contrast_clahe_percentile_stats,train-validation,true_positive,predicted,ringProminence,299,16.266667,28.244364,36.717948,60.535714,103.444483,143.711993,172.372881,73.110285
targeted_combined_v2,train-validation,false_negative,ground_truth,area,31,0.0,5.5,17.5,64.0,127.75,263.5,735.5,109.403226
targeted_combined_v2,train-validation,false_negative,ground_truth,circularity,31,0.0,0.105218,0.254462,0.50759,0.622251,0.71854,0.81104,0.454721
targeted_combined_v2,train-validation,false_negative,ground_truth,componentMean,31,7.0,11.737864,13.184905,17.075472,26.853938,45.333333,54.0,22.273912
targeted_combined_v2,train-validation,false_negative,ground_truth,componentPeak,31,7.0,43.0,49.0,58.0,89.0,106.0,116.0,66.0
targeted_combined_v2,train-validation,false_negative,ground_truth,elongation,31,1.0,1.0,1.125,1.625,2.0,2.5,4.75,1.731685
targeted_combined_v2,train-validation,false_negative,ground_truth,fillRatio,31,0.0,0.08608,0.281908,0.375,0.518305,0.600592,0.666667,0.373169
targeted_combined_v2,train-validation,false_negative,ground_truth,pixelArea,31,1.0,11.0,28.0,81.0,179.5,302.0,823.0,134.806452
targeted_combined_v2,train-validation,false_negative,ground_truth,ringProminence,31,-4.5,32.191781,36.567029,47.46281,72.213816,85.428571,98.666667,52.24179
targeted_combined_v2,train-validation,false_positive,predicted,area,1766,6.0,6.5,8.5,13.5,34.5,49.0,476.0,23.320215
targeted_combined_v2,train-validation,false_positive,predicted,circularity,1766,0.006613,0.027295,0.04474,0.076139,0.126936,0.196612,0.555856,0.09711
